曾有確診或疑似2019冠狀病毒病個案的大廈名單 
曾有確診或疑似個案居住過的住宅大廈名單 
(註: 大廈會在報告日期起計保留在名單內 14天。) 
 
地區 大廈名單 相關確診/疑似個案編號 
北區 翠麗花園1座 2166 
北區 榮福中心2座 2167 
觀塘 金龍園 2168 
灣仔 德華大廈 2169 
屯門 大欖涌村101號 2170 
屯門 富健花園7座 2171 
元朗 塘坊村8號 2172 
觀塘 油塘邨美塘樓 2173 
黃大仙 慈康邨康德樓 2174 
九龍城 海逸豪園20座 2175 
屯門 卓爾居3座  2176 
屯門 卓爾居3座 2177 
北區 天平邨天美樓 2178 
北區 富榮大廈 2179 
沙田 大圍嘉順苑 2180 
九龍城 海逸豪園8座 2181 
荃灣 荃威花園E座 2182 
西貢 彩明苑彩富閣 2183 
離島 海堤灣畔1座 2185 
深水埗 大南街190號 2186 
黃大仙 慈安苑安欣閣 2187 
九龍城 海逸豪園3期悅濤灣8座 2188 
油尖旺 西貢街19號 2189 
九龍城 家維邨家邦樓 2190 
黃大仙 樂富邨宏逸樓 2191 
九龍城 愛民邨信民樓 2192 
黃大仙 威豪花園2座 2194 
油尖旺 海富苑海裕閣 2195 
葵青 長亨邨亨翠樓 2196 
深水埗 澤安邨榮澤樓 2197 
11 
 
地區 大廈名單 相關確診/疑似個案編號 
九龍城 黃埔花園4期6座 2198 
東區 太古城翠湖台鄱陽閣 2200 
黃大仙 黃大仙下邨龍昌樓 2201 
黃大仙 慈愛苑愛寧閣 2202 
油尖旺 帝柏海灣5座 2203 
油尖旺 帝柏海灣5座 2204 
油尖旺 立信大廈 2205 
九龍城 德豐樓 2206 
黃大仙 譽．港灣8庢 2207 
黃大仙 黃大仙下邨龍光樓 2210 
元朗 天恩邨恩穗樓 2213 
黃大仙 黃大仙下邨龍光樓 2214 
油尖旺 仁安大廈B座 2221 
荃灣 海韻花園3座 2222 
灣仔 德華大廈 2223 
沙田 美田邨美全樓 2224 
屯門 香港黃金海岸二期32座 2226 
深水埗 榮昌邨榮俊樓 2228 
黃大仙 慈樂邨樂祥樓 2230 
油尖旺 大同新邨大公樓 2231 
九龍城 嶺南大廈 2233 
沙田 海福花園2座 2236 
油尖旺 帝京酒店 2236 
黃大仙 慈民邨民泰樓 2237 
元朗 俊宏軒4座 2238 
油尖旺 鑽石樓 2240 
沙田 乙明邨明耀樓 2241 
沙田 濱景花園2座 2242 
九龍城 露明道4號 2243 
大埔 海日灣海曦閣B2 2244 
油尖旺 大同新邨大公樓 2245 
葵青 長青邨青松樓 2247 
葵青 荔景紀律部隊宿舍三座 2248 
油尖旺 大同新邨大方樓 2249 
12 
 
地區 大廈名單 相關確診/疑似個案編號 
沙田 隔田村 2250 
東區 富雅花園金楓閣 2253 
屯門 新墟村 2254 
沙田 碩門邨美碩樓 2255 
油尖旺 廣東道廣福大廈 2256 
黃大仙 慈愛苑愛祥閣 2257 
黃大仙 慈樂邨樂旺樓 2259 
油尖旺 嘉文花園3座 2260 
沙田 乙明邨明恩樓 2262 
葵青 葵馥苑樂葵閣 2264 
葵青 梨木道葵寶大廈 2265 
南區 石排灣邨碧綠樓 2266 
沙田 欣安邨欣喜樓 2267 
灣仔 軒尼詩道軒尼詩大廈 2268 
深水埗 石硤尾邨美映樓 2269 
深水埗 石硤尾邨美亮樓 2270 
黃大仙 樂富邨宏逸樓 2272 
黃大仙 慈樂邨樂誠樓 2273 
葵青 盈翠半島12座 2274 
黃大仙 東頭(二)邨興東樓 2275 
油尖旺 寶來大廈 2276 
九龍城 家維邨家邦樓 2277 
黃大仙 慈正邨正安樓 2278 
黃大仙 慈正邨正安樓 2279 
屯門 田景邨田樂樓 2280 
油尖旺 荔枝角道15-21號 2281 
西貢 翠林邨彩林樓  2282 
觀塘 安達邨善達樓 2283 
北區 龍豐花園A座 2284 
黃大仙 慈樂邨樂安樓 2285 
元朗 朗善邨善愛樓 2286 
元朗 朗善邨善愛樓 2287 
屯門 兆禧苑順禧閣 2288 
元朗 錦上路謝屋村 2289 
13 
 
地區 大廈名單 相關確診/疑似個案編號 
葵青 葵涌邨合葵樓 2290 
深水埗 荔枝閣 2292 
深水埗 荔枝閣 2293 
九龍城 海逸豪園3期12A座 2296 
九龍城 海逸豪園3期12A座 2297 
東區 富雅花園金楓閣 2299 
九龍城 龍譽 2B 座 2300 
黃大仙 慈愛苑愛華閣 2301 
沙田 耀安邨耀和樓 2302 
黃大仙 慈民邨民裕樓 2303 
沙田 水泉澳邨映泉樓 2304 
沙田 嘉順苑 2306 
觀塘 晨光大廈 2308 
觀塘 高翔苑高康閣 2309 
沙田 嘉順苑 2310 
北區 新屋嶺村 2312 
北區 粉嶺名都富臨閣 2313 
元朗 田心村 2315 
屯門 兆畦苑兆富閣 2316 
元朗 塘坊村 2317 
油尖旺 柏景灣2座 2318 
屯門 大興邨興泰樓 2319 
觀塘 彩德邨彩敬樓 2320 
黃大仙 慈正邨正明樓 2321 
九龍城 港圖灣 2322 
葵青 荃灣帝盛酒店 2324 
九龍城 黃埔街18號 2327 
觀塘 彩福邨彩善樓 2328 
深水埗 南邦樓 2329 
西貢 富寧花園6座 2330 
黃大仙 彩雲(二)邨豐澤樓 2331 
葵青 長青邨青柏樓 2332 
九龍城 翔龍灣5座 2333 
屯門 山景邨景華樓 2334 
14 
 
地區 大廈名單 相關確診/疑似個案編號 
元朗 朗善邨善愛樓 2335 
油尖旺 登打士街國强大廈 2337 
九龍城 春田街福運大廈 2338 
大埔 龍尾村 2339 
觀塘 安達邨謙達樓 2340 
觀塘 坪石邨藍石樓 2341 
深水埗 喜漾2座 2342 
黃大仙 慈正邨正康樓 2345 
東區 健康邨三期棕樹樓 2347 
沙田 美松苑麗松閣 2348 
黃大仙 慈正邨正康樓 2349 
葵青 葵馥苑樂葵閣 2350 
大埔 大南樓 2351 
灣仔 德華大廈  2352 
灣仔 德華大廈  2353 
東區 碧麗閣A座 2354 
北區 粉嶺名都富臨閣 2355 
北區 永寧村 2357 
深水埗 元州街鴻裕大廈 2358 
西貢 對面海村 2359 
油尖旺 嘉文花園3座 2360 
觀塘 萬和花園大廈  2362 
黃大仙 慈正邨正康樓 2363 
黃大仙 慈正邨正康樓 2364 
沙田 耀安邨耀平樓 2365 
觀塘 彩德邨彩仁樓 2369 
黃大仙  彩雲(一)邨星辰樓 2370 
黃大仙 彩輝邨彩華樓 2371 
屯門 卓爾居3座 2374 
油尖旺 花園街110號 2375 
觀塘 業運工業大廈 2376 
屯門 彩華花園D座 2377 
黃大仙 慈正邨正康樓 2378 
黃大仙 彩雲(一)邨星辰樓 2379 
15 
 
地區 大廈名單 相關確診/疑似個案編號 
黃大仙 慈安苑安欣閣 2380 
屯門 兆康苑兆昌閣 2381 
灣仔 德華大廈 2382 
葵青 荃灣帝盛酒店 2383 
東區 濱海街中興大廈 2386 
灣仔 冠景樓 2387 
葵青 象山邨秀山樓 2388 
葵青 青泰苑通泰閣 2389 
深水埗 大埔道43號 2390 
葵青 葵馥苑樂葵閣 2391 
沙田 乙明邨明耀樓 2392 
北區 大元村 2393 
